,model_out_raw,history,text,restored_text
10,Ух ты! Ты крутая Маша! А что ещё любишь?,"['Привет!', 'Привет. Как тебя зовут?', 'Меня зовут Марк! А тебя?', 'Маша меня зовут, очень приятно, чем занимаешься?', 'Мне тоже очень приятно, Маша! Только проснулся, думаю, поработаю немного и начну медитировать. Ты чем занимаешься?', 'Рисую фон для фотосессии мелками, я работаю моделью в каталоге одежды.']",Ух ты! Ты крутая Маша! А что ещё любишь?,Ух ты! Ты крутая Маша - модель! А что ещё любишь?
11,Я тоже из Москвы. Ты любишь спорт?,"['Привет, ты откуда?', 'Привет! Как хорошо, что я тебя нашла. Я из Москвы белокаменной. А ты откуда?', 'Я тоже из Москвы. Ты любишь спорт?']","Давай знакомится, меня Настя зовут! А тебя? Да, обожаю! Спорт - это моя жизнь. А ты спортсмен?","Давай знакомится, меня Настя зовут! А тебя как зовут? Да, обожаю спорт! Спорт - это моя жизнь. А ты спортсмен?"
12,"Привет, Петька! У тебя есть собака? Не, у меня дельфин.","['Привет, я Петька деревенский паренёк. А ты кто?', 'Привет, Петька! У тебя есть собака?']","Не, у меня дельфин.","Не, у меня есть дельфин."
13,"Зато, пока ничем не занят, есть много времени на чтение и утренние пробежки.","['Здраствуйте!', 'Добрый день, Вы откуда?', 'Рад новому знакомству, я со столицы нашей большой страны - Москва.', 'Я тоже рада знакомству. Чем занимаетесь по жизни?', 'Я работаю волонтёром в самом большом питомнике для животных в стране. А вы кем?', 'Это здорово работать волонтеромв питомнике! А я пока в поиске работы.', 'Вы посещали другие страны?']","Зато, пока ничем не занят, есть много времени на чтение и утренние пробежки. Нет, к сожалению. Вы любите путешествовать?","Зато, пока ничем не занят, есть много времени на чтение и утренние пробежки. Нет, к сожалению, я не посещал другие страны. Вы любите путешествовать?"
14,Я тоже регулярно занимаюсь. Даже сижу на правильном питании и не ем сладкое. Мне очень нравятся путешествия. Тебя тоже они увлекают?,"['Привет!', 'Привет. Что делаешь?', 'Играю в доту. А ты чем занимаешься?', 'Я с кошкай играю, очень люблю кошек.', 'Здорово играть с кошкой, а я больше всего люблю поспать. )))) А спортом ты занимаешься?', 'Да спортом занимаюсь, готовлю сейчас свою спортивную игру к путешествиям. Ты любишь путешествовать?']",Я тоже регулярно занимаюсь. Даже сижу на правильном питании и не ем сладкое. Мне очень нравятся путешествия. Тебя тоже они увлекают?,Я тоже регулярно занимаюсь спортом. Даже сижу на правильном питании и не ем сладкое. Мне очень нравятся путешествия. Тебя тоже они увлекают?
15,Любите отдыхать?,"['Привет.', 'Привет. Как дела?', 'У Вас есть дети?', 'У меня есть дети.', 'Хорошо, я вышла замуж неделю назад.', 'Поздравляю со свадьбой.']",Любите отдыхать? Спасибо!,Любите отдыхать? Спасибо за поздравление!
16,Неполное высказвание: Неплохо. Чем занимаешься?,"['Привет.', 'Привет. Как дела?']",Неплохо. Чем занимаешься?,Дела неплохо. Чем занимаешься?
17,"О, а что именно любишь почитать?","['Привет.', 'Привет. Чем занимаешься?', 'Работаю поваром.', 'Понятно, ты работаешь поваром, а я студентка. Что любишь делать в свободное время?', 'Какое ваше хобби? Обожаю рыбалкой заниматься в свободное время.', 'Увлекаюсь туризмом, сейчас пытаюсь накопить на поездку. Любишь читать?', 'Очень люблю читать, у меня трое детей любят сказки на ночь.']","О, а что именно любишь почитать? А я замужем, денег на детей пока что нету, так что их, соответственно, тоже нету.","О, а что именно любишь почитать? А я замужем, денег на детей пока что нету, так что детей, соответственно, у меня тоже нету."
18,Работаю шеф-поваром. Супер!,"['Привет.', 'Привет! Как дела?', 'Дела отлично! Чем ты занимаешься?', 'Занимаюсь в данный момент времени или по жизни?', 'Чем занимаешься по жизни?', 'Работаю и путешествую, а ты работаешь?', 'Работаю. Кем ты работаешь?', 'Кем работаешь?', 'Работаю фрилансером. А ты кем работаешь?', 'Работаю шеф-поваром.']",Супер!,"Супер, ты работаешь шеф-поваром!"
19,"А погода у нас замечательная. Самое то для того, чтобы покататься на лыжах. Считаю её очень оригинальной, хотя познакомился с ней недавно. На свадьбе у родителей.","['Здравствуйте.', 'Привет. Как у вас погода?', 'Извините, ваша манера общения для меня неприемлема, ведь я инженер, и сейчас получаю второе высшее образование в академии. У нас на улице Ленина темно и холодно. А у вас как на улице?', 'Ой, простите за манеру общения. Просто я некоторое время жил в Индии, а в Индии это норма манеры общения.', 'Ничего, я готов смириться такой манерой общения. Любите индийскую кухню?']","А погода у нас замечательная. Самое то для того, чтобы покататься на лыжах. Считаю её очень оригинальной, хотя познакомился с ней недавно. На свадьбе у родителей.","А погода у нас замечательная. Погода у нас самое то для того, чтобы покататься на лыжах. Считаю индийскую кухню очень оригинальной, хотя познакомился с индийской кухней недавно. На свадьбе у родителей познакомился с индийской кухней."
20,И я умею слушать собеседника и давать советы. Я из деревни под Мск. А вы? У вас есть домашнее животное?,"['Здравствуй.', 'Привет.', 'Как ваше настроение?', 'Настроение отличное, а у вас как настроение? Я так люблю общаться, мне это поднимает настроение.', 'Ещё нет обеда, а я уже утомился, составляю бух. учёт. Я тоже люблю общаться, особенно на рыбалке. Вы из какого города?']",И я умею слушать собеседника и давать советы. Я из деревни под Мск. А вы? У вас есть домашнее животное?,И я умею слушать собеседника и давать советы. Я из деревни под Мск. А вы из какого города? У вас есть домашнее животное?
21,"Мне 22 года, а тебе сколько лет?","['Привет.', 'Привет, меня зовут Оля. А тебя как зовут?', 'Меня зовут Вадим.', 'Чем занимаешься?', 'Сижу за компьютером, общаюсь, а ты чем занимаешься?', 'Смотрю, как сын играет с кошкой. Работаешь?', 'Сколько тебе лет? Нет, не работаю, уже на пенсии.', 'Мне 22 года, а тебе сколько лет? Извините, Вам, сколько лет.']","67. Можно на ты. Думаю, на какой фильм сходить в кино.","Мне 67. Можно на ты. Думаю, на какой фильм сходить в кино."
22,"Ну не терпеть же их выходки! У меня тоже есть собака в квартире, может, моим соседям это не нравится. Но я стараюсь следить за её поведением, чтоб не вела себя шумно и не бегала по ночам.","['Привет.', 'Привет. Чем занимаешься?', 'Слушаю музыку и рисую. У меня много друзей, которые увлекаются искусством, чаще всего рисую им портреты. Ты чем занимаешься?', 'А я помогаю бездомным. Я сам вырос без родителей, а теперь занимаюсь волонтёрством.', 'Заниматься волонтерством это очень похвально! Я не занимаюсь подобной деятельностью, мне больше нравится сидеть дома, я люблю шить. Кстати, у меня это очень хорошо получается.', 'Ого, так ты по образованию швея или это твоё хобби? Я учитель, даже на работе занимаюсь волонтёрством.', 'Шитье это просто моё хобби и не более. Учителя, уважаемые люди, как я знаю, я не люблю громкую музыку, уже так накипело, эти соседи никак не могут успокоиться, ежедневные шумные пьянки.', 'А вы с соседями разговаривали? Если они не понимают, то нужны какие-то меры. Может, в полицию нужно позвонить?', 'Нет, я ещё не разговаривала с соседями и в полицию я тоже не звонила, уж очень боюсь, что соседи сделают со мной что-то, потому как соседи и так меня не любят, потому что я вегетарианка, а тут ещё настучу на соседей.']","Ну не терпеть же их выходки! У меня тоже есть собака в квартире, может, моим соседям это не нравится. Но я стараюсь следить за её поведением, чтоб не вела себя шумно и не бегала по ночам.","Ну не терпеть же выходки соседей! У меня тоже есть собака в квартире, может, моим соседям это не нравится. Но я стараюсь следить за её поведением, чтоб не вела себя шумно и не бегала по ночам."
23,"В этом году заканчиваю учебу. Живопись мне нравится. Часто хожу в галереи на выставки. Но рисовать у меня не получается. Точнее, рисовать то у меня получается, но как-то не очень хорошо.","['Привет! Как дела? Как день проходит?', 'Привет. Как дела?', 'Как Вас зовут? Меня Юля. Мне 21 год. Всё отлично. Иду домой с пар.', 'У меня хорошо. Меня зовут Олеся, мне тоже 21 год. Чем увлекаетесь?', 'Люблю бегать по утрам. Ходить в кино. Есть мороженое. И очень люблю вышивать. Даже мечтаю открыть свою фабрику! А ты что любишь? Какие увлечения?', 'Фабрику мороженого или фабрику одежду с вышивкой ты мечтаешь открыть?', 'Фабрику по пошиву одежды мечтаю открыть. Я учусь на модельера. Я уже придумала кучу новой одежды с моей фирменной вышивкой. Уверена, что у меня всё получится с фабрикой! Я очень трудолюбивая.)', 'Я с детства катаюсь на лыжах, недавно ездила в Розу кататься на лыжах. Также очень люблю косметику.', 'Вот только с моей трудолюбивостью я превращаюсь в трудоголика. Совсем у меня нет времени на личную жизнь, а я хочу семью.', 'На каком курсе вы учитесь? Любите ли вы рисунок и живопись?', 'В этом году заканчиваю учебу. Живопись мне нравится. Часто хожу в галереи на выставки. Но рисовать у меня не получается. Точнее, рисовать то у меня получается, но как-то не очень хорошо.']","В каком институте вы учитесь?) Рисунок самое сложное, на мой взгляд, из всех предметов в худ. образовании.","В каком институте вы учитесь?) Рисунок это самое сложное, на мой взгляд, из всех предметов в худ. образовании."
24,Еду к друзьям. А какая порода? Люблю животных. Но больше собак.,"['Привет, как дела?', 'Привет, дела хорошо. У тебя как дела?', 'Дела норм, сижу, пью чай, глажу кота. Тебя как звать? Ты тут? Ты где?', 'Извини, отошел. Меня зовут Женя. А тебя как зовут? Приятного аппетита! Любишь животных?', 'Меня зовут Алена, спасибо за пожелание, я уже поела. Люблю котов. Чем занимаешься?']",Еду к друзьям. А какая порода? Люблю животных. Но больше собак.,Еду к друзьям. А какая порода у твоего кота? Люблю животных. Но больше люблю собак.
25,"В жизни рисую комиксы, и я рисую временами.","['Добрый день!', 'Привет! Кто ты? Чем занимаешься?', 'Вообще, я сантехник по призванию.', 'А я программист.', 'Но в свободное время пишу блоги.', 'А в жизни рисую комиксы.']","Интересная у вас профессия, и я рисую временами.","Интересная у вас профессия - программист, и я рисую временами."
26,"История: Ну я очень люблю звезды, астрологию, также цветы люблю, развожу цветы, забочусь о семье. У меня жена и дочка. Недавно собаку и кошку ещё купили. А вы чем занимаетесь в свободное время?","['Здравствуйте.', 'Добрый день! Как вас зовут?', 'Меня зовут Максим, а вас как зовут?', 'А меня зовут Ярослав, чем занимаетесь в свободное время?', 'Ну я очень люблю звезды, астрологию, также цветы люблю, развожу цветы, забочусь о семье. У меня жена и дочка. Недавно собаку и кошку ещё купили. А вы чем занимаетесь в свободное время?']","Ого, как много всего, а я пока не женат, только работа и собака спасают от одиночества, дочка взрослая?","Ого, как много всего, а я пока не женат, только работа и собака спасают от одиночества, дочка взрослая у вас?"
27,"Работаю, потому что одна.","['Привет.', 'Привет. Как дела?', 'Дела отлично. Как у тебя дела?', 'Дела хорошо, чем ты занимаешься в жизни?']","Люблю работать спицами. А так работаю, потому что одна. Ну а чем же ты занимаешься?","Люблю работать спицами. А так работаю, потому что я одна. Ну а чем же ты занимаешься?"
28,"Ну или они просто слишком голодные, поэтому едят даже не очень вкусную еду.","['Привет! Меня зовут Дима, а тебя как зовут?', 'Привет! А меня зовут Настя, очень приятно познакомиться.', 'Мне тоже приятно познакомиться, чем занимаешься?', 'Я пришла со школы, скоро сяду за уроки. Как никак я в выпускном классе, мне нужно готовиться к экзаменам. А ты чем занимаешься сегодня?', 'Всё правильно, тебе нужно готовиться к экзаменам. Ну я школу уже давно закончил, работаю продавцом. Но сегодня у меня выходной. У тебя есть какие-нибудь увлечения?', 'Выходные - это здорово! На выходных я люблю гулять с друзьями или сидеть дома с родителями и моей кошкой. У тебя есть увлечения, кроме работы продавцом?)', 'Классно, ты любишь сидеть дома с кошкой, у меня тоже есть кошка. Я очень люблю готовить, мои дочь и сын говорят, что у меня вроде неплохо получается готовить. Но я не уверен, неплохо ли у меня получается готовить.', 'Правда, погода сейчас совсем не для прогулок, поэтому жду весны и хорошей погоды. Ну твои дети едят твою еду или выбрасывают ее, пока ты не видишь?', 'Это точно! Поддерживаю насчёт погоды. Надеюсь, что дети мою еду не выбрасывают.']","Ну если не выбрасывают, значит, им нравится твоя еда. Ну или они просто слишком голодные, поэтому едят даже не очень вкусную еду.","Ну если дети твою еду не выбрасывают, значит, твоим детям нравится твоя еда. Ну или твои дети просто слишком голодные, поэтому они едят даже не очень вкусную еду."
29,"Да, у меня есть дочь!","['Привет.', 'Привет, кем работаешь?', 'Курьером работаю, а ты кем работаешь?', 'Я активная домохозяйка. Чем увлекаешься?', 'Классно, ты активная домохозяйка. Я играю в шашки, пишу песни. Какого у тебя цвета глаза?', 'У меня глаза черного цвета. Мечтаю съездить в горы.', 'Мой друг в горах живёт, и я ему очень завидую. В горах очень классно. У тебя есть дети?']",Да дочь! А у тебя?,"Да, дети есть, дочь! А у тебя есть дети?"
30,Отлично. День начался прекрасно. Сделал добро людям сразу же утром. А у тебя?,"['Привет!', 'Привет. Как дела?']",Отлично. День начался прекрасно. Сделал добро людям сразу же утром. А у тебя?,Дела отлично. День начался прекрасно. Сделал добро людям сразу же утром. А у тебя как дела?
31,"Ого, а я хочу построить свой дом, поэтому тоже приходится много работать.","['Привет.', 'Привет.', 'Чем занимаешься?', 'Да, так ничем не занимаюсь. Смотрю телевизор с папой.', 'А я много работаю.', 'Кем работаешь?', 'Я парикмахер, всё-таки у тебя есть домашние животные? У меня крыса.']","Ого, а я хочу построить свой дом, поэтому тоже приходится много работать.","Ого, ты парикмахер и много работаешь, а я хочу построить свой дом, поэтому тоже приходится много работать."
32,Кем я работаю? Меня зовут Мария.,"['Добрый вечер!', 'Привет.', 'Как дела? Чем занимаетесь?', 'Дела отлично! Вот гуляю с собаками. А у тебя как дела? Ты чем занимаешься?', 'Я сижу со своей внучкой. Вот лепим пельмешки.', 'Ух ты, сами лепите пельмени!', 'А как тебя зовут?', 'Любишь собак?', 'Кем ты работаешь? Меня зовут Мария.']",Да-о-о!,"Да-о-о, собак люблю!"
33,"Здарова. Как дела? Чем увлекаешься? Я студент, люблю играть в футбол. А ты?","['Привет.', 'Здарова. Как дела? Чем увлекаешься?']","Я студент, люблю играть в футбол... А ты?","Я студент, люблю играть в футбол... А ты чем увлекаешься?"
34,"Люблю рыбалку, у тебя есть книги про рыбалку?","['Привет.', 'Привет.', 'Как дела?', 'Я мечтаю встретить свою судьбу. А ты мечтаешь встретить свою судьбу? Я холостяк.', 'А я свою судьбу уже встретила.', 'Смотрю свой любимый фильм ""Пираты Кабирского моря"". А ты что делаешь? Мне 36 лет, а тебе сколько лет?', 'Я на работе. Раскладываю книги, мне 23 года.', 'Люблю рыбалку, у тебя есть книги про рыбалку?']","А я люблю гулять, конечно.","А я люблю гулять, конечно у меня есть книги про рыбалку."
35,"К сожалению, я с детства не умею рисовать, как меня только не пытались к этому искусству приучить. Но у меня есть много других интересов, например, я пишу стихи, когда нахлынет грусть. Ещё я очень рано просыпаюсь, очень рано. Знакомые называют меня жаворонком в юбке.","['Привет, ты откуда?', 'Привет! Как хорошо, что я тебя нашла. Я из Москвы белокаменной. А ты откуда?', 'Я тоже из Москвы. Ты любишь спорт?', 'Давай знакомится, меня Настя зовут! А тебя как зовут? Да, обожаю спорт! Спорт - это моя жизнь. А ты спортсмен?', 'А меня зовут Марат, я увлекаюсь горными лыжами и гонками на внедорожниках.', 'Ух, как здорово, ты увлекаешься гонками! Гонки - это моё второе увлечение. А так я профессионально занимаюсь волейболом.', 'Это здорово, ты профессионально занимаешься волейболом, а с кем ты живешь?', 'К сожалению, живу пока одна... А у тебя есть кто-нибудь?', 'У меня есть только родители, да и мои родители живут в деревушке. Так что я тоже пока одинок.', 'А чем ты занимаешься по жизни? Расскажи о себе. Если, конечно, это не тайна федерального значения.', 'Я бородатый инструктор по горным лыжам. Очень хочу научиться рисовать, может, поможешь мне научиться рисовать?']","К сожалению, я с детства не умею рисовать, как меня только не пытались к этому искусству приучить. Но у меня есть много других интересов, например, я пишу стихи, когда нахлынет грусть. Ещё я очень рано просыпаюсь, очень рано. Знакомые называют меня жаворонком в юбке.","К сожалению, я с детства не умею рисовать, как меня только не пытались к искусству рисования приучить. Но у меня есть много других интересов, например, я пишу стихи, когда нахлынет грусть. Ещё я очень рано просыпаюсь, очень рано. Знакомые называют меня жаворонком в юбке."
36,"Круто. Я не против, если мама отпустит.","['Привет. Работаешь?', 'Таки да, работаю. Я начальник фирмы. А ты работаешь? Э-э-э-э-эщ!', 'А я сижу дома, иногда делаю сувениры и продаю сувенниры. Есть увлечения у тебя?', 'Да, шыряюсь хмурым, люблю угореть под Петросяна. А у тебя есть увлечения? Я женат, есть сын.', 'Круто, ты женат, а я люблю с семьёй ходить на каток, покататься. А ещё я научилась хорошо водить машину, хочешь прокачу?']","Круто. Я не против, если мама отпустит.","Круто, ты научилась водить машину. Я не против прокатиться с тобой на машине, если мама отпустит."
37,"Люблю красный цвет и гвоздики. Круто, ты увлекаешься танцами. Я занималась танцами. Хочу учить людей этому, буду снимать видео и выкладывать в сеть.","['Привет.', 'Привет, как дела? Чем занимаешься?', 'Нормально дела. У тебя как? Я молодая мама.', 'Дела нормально.', 'Мой отец банкир.', 'Сколько деток у тебя? У меня трое детей.', 'Потому что мой отец банкир, я не работаю пока что. У меня одна девочка.', 'Как прекрасно, ты не работаешь! А я, наоборот, увлекаюсь танцами, очень люблю танцевать.', 'Люблю красный цвет и гвоздики. Круто, ты увлекаешься танцами. Я занималась танцами.']","Хочу учить людей этому, буду снимать видео и выкладывать в сеть.","Хочу учить людей танцевать, буду снимать видео и выкладывать видео в сеть."
38,"Привет, очень рада новому знакомству.","['Привет. Чем занимаетесь?', 'Привет, очень рада новому знакомству.']",Я тоже.,Я тоже рада новому знакомству.
39,"Ну это уже что-то, так что ты молодец. Главное — работаешь.","['Привет! Как дела? Как настроение?', 'Привет. Как дела? Настроение норм.', 'Я студент, так что дела идут неплохо, только спать хочу, ох уж эти лекции и семинары... А какие планы на жизнь? У меня сейчас много идей, даже мечтаю открыть бизнес. Ну это лет через 5, наверно.', 'Да на лекциях сидеть скучно, лучше ездить за границу, как я.', 'Вау, ты ездишь за границу, я ещё никогда за пределы России не выезжал, интересно, наверно? Пока учу английский, может, следующим летом поеду в Европу.', 'А бизнес ты мечтаешь открыть не ресторанный случай? А то я хорошо готовлю. Летом был на море, стараюсь каждый год выезжать. Очень люблю море, в этом году посетил аж 2.', 'Нет, не ресторан мечтаю открыть. Я мечтаю открыть бассейн, знаю, что это трудно будет, но я увлекаюсь плаваньем, так что бизнес будет по душе.', 'Но, работая медбратом в больнице, много не наездишь.', 'Ого, ты на море был, я море только в кино видел, я заядлый киноман, одним словом, люблю ходить в кинотеатр. Хоть днём, хоть ночью. Ты медбрат? А откуда тогда поездки? Родители помогают?', 'Немного родители помогают с поездками, но стараюсь что-то отложить.']","Ну это уже что-то, так что ты молодец. Главное — работаешь.","Ну отложить денег это уже что-то, так что ты молодец. Главное — работаешь."
